"Organisation","Adjusted_R2_NLD","Adjusted_R2_Other","Difference"
"CArmedForces",0.0530136244472291,0.0744957162353912,-0.0214820917881621
"CChurches",0.451529187350914,0.205691119838494,0.24583806751242
"CCourts",0.150642685257726,0.0598167468039363,0.0908259384537898
"CEU",0.21297865024825,0.0327661690973062,0.180212481150943
"CParliament",0.214007971012458,0.0848977373791144,0.129110233633344
"CPolice",0.0861718011620929,0.0743118371378714,0.0118599640242215
"CTelevision",0.0424631031893302,0.0626685872506991,-0.0202054840613689
"CWomensMvt",0.151655255990367,0.0434897610697903,0.108165494920577
