"Organisation","Predictor","Estimate","Std. Error","t value","Pr(>|t|)"
"CChurches","ACTReligion",-0.800271109183738,0.0437163212493264,-18.3060030284701,7.13202574302462e-59
"CChurches","Trusted",0.141585706151052,0.0631252551897139,2.24293281231951,0.0252964067989809
"CChurches","ICQThrift",0.0968281404367161,0.05735590702739,1.68819822499671,0.0919369873400927
"CChurches","ILPolitics",0.0947229489892282,0.0490046813633214,1.93293673898114,0.0537541973924505
"CChurches","ACTHumanitarian",0.0906588989071838,0.0627522326762035,1.44471192562943,0.149105182021167
"CArmedForces","ICQResonsibility",0.134442586952237,0.103468827036671,1.29935354253691,0.194367009629471
"CArmedForces","ACTReligion",-0.126859152597149,0.0453551939643668,-2.79701488426695,0.00533827306808292
"CArmedForces","ACTEnvOrg",-0.103414141944393,0.0762035804980263,-1.3570772038339,0.175313332355404
"CArmedForces","Trusted",0.0853708550676646,0.0647867707615347,1.3177204862069,0.188145840678535
"CArmedForces","ACTPolParty",-0.0801120418898979,0.0868458677475405,-0.922462334336762,0.356691944395085
"CPolice","Trusted",0.277685680121365,0.0575908866748359,4.82169482281472,1.82318368962344e-06
"CPolice","ACTEnvOrg",-0.128182624785472,0.0674788843238977,-1.8995960894996,0.0579845109928194
"CPolice","ACTReligion",-0.105556267948712,0.0400415972667492,-2.63616526697268,0.00861054494817449
"CPolice","ICQResonsibility",0.0937996811295263,0.0910359514397114,1.03035866211213,0.30327337020302
"CPolice","ICQIndependence",0.0692747990573101,0.0527412971535144,1.31348303504314,0.189542276636295
"CParliament","Trusted",0.426407843228275,0.0607976117136541,7.01356239512466,6.60531819344706e-12
"CParliament","ACTEnvOrg",-0.213475709159771,0.0709062771680376,-3.01067433922479,0.00272209096443897
"CParliament","ILPolitics",0.12209694254689,0.0476753638121932,2.56100704397064,0.0106932411317556
"CParliament","PolInterest",0.0815929205863116,0.0393049566498599,2.07589392129764,0.0383514748154928
"CParliament","PolPetition",-0.0599365360458726,0.0441012436740579,-1.35906679840709,0.174662907679732
"CTelevision","Trusted",0.248047535519821,0.0578164041372431,4.29026223995203,2.09591103713113e-05
"CTelevision","ACTEnvOrg",-0.128918439700886,0.0681497020827272,-1.89169483887679,0.0590374068614337
"CTelevision","ACTPolParty",0.100158769770985,0.0771984722096237,1.29741906677913,0.195010961102316
"CTelevision","ACTReligion",0.0875505667504012,0.0405895176681843,2.15697479990078,0.0314242473282219
"CTelevision","ICQResonsibility",-0.0841548551818179,0.092306497113595,-0.911689402299109,0.362316973918771
"CWomensMvt","Trusted",0.213938286032077,0.0621154112471317,3.44420622413502,0.000620001769496521
"CWomensMvt","ICQTolerance",-0.191534730555476,0.0763342240120746,-2.50915933232227,0.0124114515152257
"CWomensMvt","ICQResonsibility",0.178882229072003,0.0962714083497591,1.85810337812983,0.0637314809265312
"CWomensMvt","ACTPolParty",0.118411765029452,0.0792084284056488,1.49493895299919,0.135550068173243
"CWomensMvt","ACTReligion",0.0996343202210531,0.0437128421166207,2.27929174578126,0.0230628276261664
"CCourts","Trusted",0.351927636348529,0.0661829840682761,5.31749423666771,1.50655991844752e-07
"CCourts","ACTEnvOrg",-0.140410284954191,0.0777096853683895,-1.80685694824994,0.0713053830667306
"CCourts","ICQResonsibility",0.137205034730161,0.104812715142505,1.30904952269975,0.191038657012382
"CCourts","ACTReligion",-0.123790861455995,0.0461208330242666,-2.68405519455517,0.00748239174440447
"CCourts","ACTPolParty",0.121520832183281,0.0881880386624021,1.3779740883963,0.168745431206921
"CEU","Trusted",0.294310649549829,0.063878440956494,4.60735492511906,5.05205970416024e-06
"CEU","ICQResonsibility",0.248738874581479,0.101643598775926,2.44716713671095,0.014704046665731
"CEU","ICQObedience",0.1462955298558,0.0752869888152857,1.94317148497906,0.0524952721097352
"CEU","ICQTolerance",-0.144575142753996,0.0776470503383339,-1.86195279954659,0.0631323984951125
"CEU","ILPolitics",0.124635399720893,0.0499587810577889,2.49476462559652,0.0128905404129574
