"Wave","CChurches_NLD","CArmedForces_NLD","CPolice_NLD","CParliament_NLD","CTelevision_NLD","CWomensMvt_NLD","CCourts_NLD","CEU_NLD","CChurches_Other","CArmedForces_Other","CPolice_Other","CParliament_Other","CTelevision_Other","CWomensMvt_Other","CCourts_Other","CEU_Other"
5,2.88973384030418,2.60948905109489,2.41754385964912,2.93258426966292,2.73851590106007,2.64383561643836,2.67509025270758,3.00751879699248,2.12694284850317,2.21334202263167,2.37106765456091,2.71966894476143,2.4920431068178,2.38968664241496,2.44936589059247,2.69587179933809
6,3.05749486652977,2.46680942184154,2.28682170542636,2.74745417515275,2.66272189349112,2.64883720930233,2.30332681017613,2.83333333333333,2.11512619276156,2.15956524252761,2.43159836752949,2.76704708378735,2.51137570574096,2.35018181818182,2.4437078588022,2.64131088394468
7,2.92801556420233,2.39299610894942,2.19005328596803,2.82674199623352,2.75724637681159,2.51230425055928,2.24511545293073,2.74716981132075,2.18902254119074,2.04913056898858,2.31442852042638,2.77206222085323,2.62406960370147,2.28385160938352,2.38553719008264,2.69163199260287
