"Wave","CChurches","CArmedForces","CPolice","CParliament","CTelevision","CWomensMvt","CCourts","CEU"
5,2.88973384030418,2.60948905109489,2.41754385964912,2.93258426966292,2.73851590106007,2.64383561643836,2.67509025270758,3.00751879699248
6,3.05749486652977,2.46680942184154,2.28682170542636,2.74745417515275,2.66272189349112,2.64883720930233,2.30332681017613,2.83333333333333
7,2.92801556420233,2.39299610894942,2.19005328596803,2.82674199623352,2.75724637681159,2.51230425055928,2.24511545293073,2.74716981132075
