"Wave","CChurches","CArmedForces","CPolice","CParliament","CTelevision","CWomensMvt","CCourts","CEU"
1,2.37192118226601,2.41135335252982,2.39467213114754,2.41879432624113,NA,NA,2.14275618374558,NA
2,2.15248447204969,2.21008533747091,2.61606450612498,2.54063826442383,2.61823480432973,NA,2.40498442367601,2.85510688836105
3,2.12055922048054,2.27107407857925,2.57475003011685,2.83165576245596,2.54633496761697,2.5076726342711,2.52999208330796,2.56243093922652
4,1.8457761068058,2.14331748972851,2.39386679444178,2.54290921139828,2.40682987681272,2.40191477379388,NA,2.64910105393676
5,2.12694284850317,2.21334202263167,2.37106765456091,2.71966894476143,2.4920431068178,2.38968664241496,2.44936589059247,2.69587179933809
6,2.11512619276156,2.15956524252761,2.43159836752949,2.76704708378735,2.51137570574096,2.35018181818182,2.4437078588022,2.64131088394468
7,2.18902254119074,2.04913056898858,2.31442852042638,2.77206222085323,2.62406960370147,2.28385160938352,2.38553719008264,2.69163199260287
