"Organization","R2","Adjusted_R2"
"CChurches",0.475251973365148,0.451529187350914
"CParliament",0.247032846180002,0.214007971012458
"CEU",0.246554646398068,0.21297865024825
"CWomensMvt",0.191371770223028,0.151655255990367
"CCourts",0.18591499899287,0.150642685257726
"CPolice",0.124121477193567,0.0861718011620929
"CArmedForces",0.0941869451234365,0.0530136244472291
"CTelevision",0.0826282414783685,0.0424631031893302
