"Group","CChurches","CArmedForces","CPolice","CParliament","CTelevision","CWomensMvt","CCourts","CEU"
"Netherlands",2.96993670886076,2.46772908366534,2.2741935483871,2.81846392552366,2.71758569299553,2.59215328467153,2.35529237601776,2.83385826771654
"OtherCountries",2.10658985678906,2.17413104165526,2.42844095549781,2.71417779456529,2.52725006004735,2.38036599965794,2.4345401062028,2.65884907709012
